24-12-2020 14:49:11 - ERROR - v: 7.0.0 - m: 60,3 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:11 - ERROR - v: 7.0.0 - m: 60,4 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:18 - ERROR - v: 7.0.0 - m: 58,8 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:18 - ERROR - v: 7.0.0 - m: 58,8 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:18 - ERROR - v: 7.0.0 - m: 58,8 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:18 - ERROR - v: 7.0.0 - m: 58,8 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:18 - ERROR - v: 7.0.0 - m: 59,2 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:18 - ERROR - v: 7.0.0 - m: 59,2 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:20 - ERROR - v: 7.0.0 - m: 58,8 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:20 - ERROR - v: 7.0.0 - m: 58,8 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:20 - ERROR - v: 7.0.0 - m: 59,2 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:20 - ERROR - v: 7.0.0 - m: 60,3 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:20 - ERROR - v: 7.0.0 - m: 60,3 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:20 - ERROR - v: 7.0.0 - m: 60,4 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:20 - ERROR - v: 7.0.0 - m: 60,4 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
24-12-2020 14:49:21 - ERROR - v: 7.0.0 - m: 60,3 Mo, u: 1 - cURL error 6: Could not resolve host: www.thenewsletterplugin.com (http_request_failed) - 
